
organism_name
Toxoplasma gondii TgCatPRC2
Phytophthora pisi
Babesia microti strain RI
Heterococcus sp. DN1
Tritrichomonas foetus
Tritrichomonas foetus
Theileria parva lawrencei
Saprolegnia diclina VS20
Chromera velia CCMP2878
Vitrella brassicaformis CCMP3155
Oxytricha trifallax
Oxytricha trifallax
Oxytricha trifallax
Cryptosporidium viatorum
Toxoplasma gondii CtCo5
Chroomonas mesostigmatica CCMP1168
Plasmopara muralis
Achlya hypogyna
Leishmania aethiopica L147
Leishmania tropica L590
Trypanosoma cruzi Tula cl2
Leishmania donovani Ld 2001
Pythium aphanidermatum DAOM BR444
Pythium arrhenomanes ATCC 12531
Globisporangium irregulare DAOM BR486
Globisporangium iwayamae DAOM BR242034
Globisporangium ultimum var. sporangiiferum BR650
Phytopythium vexans DAOM BR484
Schmidingerella arcuata
Plasmodium inui San Antonio 1
Plasmodium falciparum UGT5.1
Leishmania donovani Ld 39
Plasmodium falciparum 58.1
Plasmodium falciparum 303.1
Plasmodium falciparum 309.1
Plasmodium falciparum 318.1
Plasmodium falciparum 326.1
Plasmodium falciparum 327.1
Plasmodium falciparum 365.1
Plasmodium falciparum 366.1
Plasmodium falciparum 377.1
Plasmodium falciparum 383.1
Plasmodium falciparum 397.1
Plasmodium falciparum 398.1
Phytophthora lateralis SMST21
Phytophthora lateralis MPF6
Phytophthora lateralis MPF4
Goniomonas avonlea
Acanthamoeba castellanii str. Neff
Nannochloropsis oculata CCMP525
Nannochloropsis granulata CCMP529
Leptomonas seymouri BHU1095
Phytomonas serpens 9T
Breviolum minutum Mf 1.05b.01
Cryptosporidium sp. chipmunk genotype I
Phytophthora kernoviae 00238/432
Phytophthora kernoviae 00629/1
Phytophthora kernoviae 00844/4
Leishmania panamensis MHOM/COL/81/L13
Leishmania braziliensis MHOM/BR/75/M2903
Leishmania sp. MAR LEM2494
Perkinsela sp. CCAP 1560/4
Phytophthora parasitica CJ01A1
Phytophthora parasitica P10297
Phytophthora parasitica P1569
Phytophthora parasitica P1976
Plasmodium yoelii 17X
Phytophthora pluvialis
Phytophthora pluvialis
Nannochloropsis oceanica strain IMET1
Giardia intestinalis assemblage B
Acytostelium subglobosum LB1
